applicant_name,jamb_reg_number,utme_score,olevel_math,olevel_english,olevel_subject_1,olevel_grade_1,olevel_subject_2,olevel_grade_2,olevel_subject_3,olevel_grade_3,olevel_avg_score,course_applied,departmental_cutoff,outcome
Ibrahim Abubakar,202561595148FG,169,C4,C6,Mathematics,C5,Physics,E8,Further Mathematics,C5,2.6,Computer Science,200,REJECTED
Solomon Ogundele,202529946804FG,223,B3,C5,English Language,C4,Literature,B2,Further Mathematics,C5,3.4,Mass Communication,180,QUALIFIED
Ibrahim Chukwu,202572148951EG,188,C4,C4,Mathematics,C5,Economics,C4,Further Mathematics,C4,3.0,Accounting,200,BORDERLINE
Chukwuemeka Ibrahim,202569367632CF,199,B2,B2,Mathematics,A1,Physics,B2,Further Mathematics,C4,4.0,Civil Engineering,210,BORDERLINE
Aisha Bello,202517278895HJ,188,C6,B2,Biology,C6,Chemistry,C5,Further Mathematics,C4,3.2,Medicine and Surgery,280,BORDERLINE
Fatima Musa,202577434873FG,274,C6,D7,Mathematics,C4,Fine Art,D7,Further Mathematics,C4,2.6,Architecture,200,REJECTED
Oluwaseun Nwosu,202536231665HJ,209,A1,B3,Economics,B3,Commerce,B3,Further Mathematics,C4,4.0,Business Administration,180,QUALIFIED
Emmanuel Olawale,202596705466EG,172,A1,C6,English Language,B3,Literature,C6,Further Mathematics,E8,3.2,Mass Communication,180,REJECTED
Solomon Musa,202527298069CF,238,B2,C4,Economics,A1,Commerce,B3,Further Mathematics,C5,3.8,Business Administration,180,QUALIFIED
Ibrahim Ibrahim,202555646417CF,167,C5,B2,Biology,C4,Chemistry,A1,Further Mathematics,B3,3.8,Medicine and Surgery,280,REJECTED
Blessing Anyanwu,202503309232HJ,217,A1,E8,Mathematics,B2,Economics,A1,Further Mathematics,E8,3.2,Economics,190,REJECTED
Funmilayo Musa,202512419049HJ,141,C4,B2,Biology,C5,Chemistry,C6,Further Mathematics,B2,3.4,Medicine and Surgery,280,REJECTED
Josephine Olawale,202591905865CF,163,E8,B2,English Language,C4,Literature,C6,Further Mathematics,B2,3.0,Mass Communication,180,REJECTED
Ngozi Ogundele,202572628498HJ,216,C5,A1,Mathematics,C4,Economics,C4,Further Mathematics,C4,3.4,Economics,190,QUALIFIED
Chukwuemeka Eze,202573799650HJ,235,C4,C5,Economics,B3,Commerce,D7,Further Mathematics,C6,3.0,Business Administration,180,ALTERNATIVE_COURSE
Daniel Chukwu,202508313678EG,215,B2,B2,Biology,C6,Chemistry,B3,Further Mathematics,D7,3.4,Nursing Science,200,ALTERNATIVE_COURSE
Grace Eze,202595788568FG,205,C5,C4,Economics,C6,Commerce,A1,Further Mathematics,B2,3.6,Business Administration,180,QUALIFIED
Amaka Musa,202582337498FG,199,C5,B3,Biology,B3,Chemistry,B2,Further Mathematics,B2,3.8,Nursing Science,200,BORDERLINE
Oluwaseun Eze,202500842710FG,158,C6,B3,Biology,B3,Chemistry,B3,Further Mathematics,C5,3.6,Medicine and Surgery,280,REJECTED
Amaka Olawale,202516719022FG,184,C4,B3,Economics,E8,Commerce,B3,Further Mathematics,D7,2.8,Business Administration,180,REJECTED
Grace Anyanwu,202586774964CF,193,F9,B2,Biology,C6,Chemistry,C5,Further Mathematics,C6,2.6,Medicine and Surgery,280,ALTERNATIVE_COURSE
Chukwuemeka Nwosu,202532812067HJ,246,E8,A1,Mathematics,C6,Fine Art,C5,Further Mathematics,B3,3.2,Architecture,200,ALTERNATIVE_COURSE
Grace Nzekwe,202549361832FG,222,A1,B3,Mathematics,B3,Physics,D7,Further Mathematics,A1,4.0,Civil Engineering,210,ALTERNATIVE_COURSE
Josephine Ibrahim,202517464887HJ,148,A1,B2,Literature,B3,Government,C5,Further Mathematics,C4,3.8,Law,220,REJECTED
Grace Ogundele,202599049027HJ,221,C4,D7,Biology,C5,Chemistry,C5,Further Mathematics,A1,3.2,Medicine and Surgery,280,ALTERNATIVE_COURSE
Ngozi Okonkwo,202555125674HJ,196,B2,C4,Mathematics,C5,Physics,C4,Further Mathematics,A1,3.6,Civil Engineering,210,BORDERLINE
Kelvin Olawale,202508760385HJ,186,A1,A1,Mathematics,B3,Economics,B2,Further Mathematics,C6,4.2,Economics,190,BORDERLINE
Chioma Adeyemi,202509324808HJ,231,C6,B2,Economics,C4,Commerce,E8,Further Mathematics,C4,2.8,Business Administration,180,ALTERNATIVE_COURSE
Oluwaseun Ibrahim,202548467737EG,246,B2,C6,Biology,B2,Chemistry,E8,Further Mathematics,C5,3.0,Medicine and Surgery,280,ALTERNATIVE_COURSE
Adaeze Abubakar,202584044997EG,242,B2,C4,English Language,C5,Literature,B2,Further Mathematics,A1,3.8,Mass Communication,180,QUALIFIED
Victor Olawale,202533963605HJ,180,C4,B3,Economics,C4,Commerce,C4,Further Mathematics,C4,3.2,Business Administration,180,QUALIFIED
Blessing Nwosu,202589517187CF,199,B3,C5,English Language,C6,Literature,F9,Further Mathematics,C4,2.6,Mass Communication,180,ALTERNATIVE_COURSE
Victor Adeleke,202561586578CF,221,C4,C5,Literature,B2,Government,C4,Further Mathematics,E8,2.8,Law,220,ALTERNATIVE_COURSE
Adaeze Adeyemi,202517240050FG,244,A1,C5,Mathematics,E8,Fine Art,F9,Further Mathematics,C5,2.4,Architecture,200,REJECTED
Fatima Nwosu,202519693792EG,193,B3,B2,Biology,C4,Chemistry,C4,Further Mathematics,C6,3.4,Nursing Science,200,BORDERLINE
Josephine Ogundele,202582175946FG,203,C5,C4,Economics,C5,Commerce,D7,Further Mathematics,C4,2.8,Business Administration,180,ALTERNATIVE_COURSE
Peter Abubakar,202594406409CF,171,C6,B2,Economics,B3,Commerce,C4,Further Mathematics,B2,3.6,Business Administration,180,REJECTED
Ngozi Bello,202539421047CF,168,C5,C6,Mathematics,D7,Fine Art,C6,Further Mathematics,B2,3.0,Architecture,200,REJECTED
Ibrahim Nwosu,202585884247FG,238,B3,B2,Mathematics,D7,Fine Art,B3,Further Mathematics,C4,3.4,Architecture,200,ALTERNATIVE_COURSE
Solomon Olawale,202585160481HJ,257,C6,C4,Biology,A1,Chemistry,C6,Further Mathematics,B2,3.6,Nursing Science,200,QUALIFIED
Amaka Ogundele,202537098593CF,207,C5,C5,Biology,C4,Chemistry,C6,Further Mathematics,E8,2.6,Nursing Science,200,ALTERNATIVE_COURSE
Josephine Ibrahim,202511382675HJ,245,D7,B3,Economics,C4,Commerce,B2,Further Mathematics,E8,2.8,Business Administration,180,REJECTED
Adaeze Eze,202505377351FG,222,C5,B2,Mathematics,C4,Fine Art,A1,Further Mathematics,C4,3.6,Architecture,200,QUALIFIED
Tunde Adeyemi,202539005329EG,187,D7,C5,Mathematics,A1,Economics,B3,Further Mathematics,E8,3.0,Economics,190,REJECTED
Oluwaseun Anyanwu,202590422842CF,222,C6,C4,Biology,C4,Chemistry,C6,Further Mathematics,B2,3.2,Medicine and Surgery,280,BORDERLINE
Daniel Okafor,202526811775CF,263,B2,B3,Mathematics,C6,Physics,C4,Further Mathematics,A1,3.8,Computer Science,200,QUALIFIED
Kelvin Eze,202570076617HJ,208,C4,E8,Economics,A1,Commerce,C6,Further Mathematics,D7,2.8,Business Administration,180,REJECTED
Peter Chukwu,202556984789HJ,264,D7,B3,Biology,B2,Chemistry,B2,Further Mathematics,C5,3.4,Medicine and Surgery,280,ALTERNATIVE_COURSE
Ibrahim Okonkwo,202573657661FG,120,C6,B2,Biology,C5,Chemistry,D7,Further Mathematics,C4,3.0,Medicine and Surgery,280,REJECTED
Chukwuemeka Olawale,202511615280FG,238,B3,B3,English Language,E8,Literature,C5,Further Mathematics,C4,3.0,Mass Communication,180,ALTERNATIVE_COURSE
Blessing Eze,202594519832HJ,213,C4,D7,Biology,E8,Chemistry,C4,Further Mathematics,D7,2.2,Medicine and Surgery,280,REJECTED
Grace Anyanwu,202568998094CF,199,C6,B3,Mathematics,C4,Economics,B2,Further Mathematics,B3,3.6,Accounting,200,BORDERLINE
Oluwaseun Adeleke,202561201836HJ,213,B3,C6,Literature,E8,Government,B3,Further Mathematics,B2,3.2,Law,220,ALTERNATIVE_COURSE
Chukwuemeka Nzekwe,202502290147HJ,140,B3,B3,Economics,C5,Commerce,C6,Further Mathematics,C4,3.4,Business Administration,180,REJECTED
Amaka Eze,202597840369CF,202,C5,C4,Economics,B2,Commerce,C4,Further Mathematics,B3,3.4,Business Administration,180,QUALIFIED
Amaka Okafor,202576226838FG,222,B2,E8,Mathematics,C6,Physics,C6,Further Mathematics,B3,3.0,Computer Science,200,ALTERNATIVE_COURSE
Victor Adeleke,202569664160FG,261,B3,C5,Biology,C4,Chemistry,C4,Further Mathematics,A1,3.6,Medicine and Surgery,280,BORDERLINE
Amaka Bello,202569681645EG,191,C6,C5,Literature,C6,Government,D7,Further Mathematics,A1,3.2,Law,220,ALTERNATIVE_COURSE
Ngozi Abubakar,202523124329EG,181,C6,A1,Biology,C5,Chemistry,C4,Further Mathematics,B2,3.6,Nursing Science,200,BORDERLINE
Tunde Ogundele,202599552717HJ,192,B2,C6,Biology,C4,Chemistry,C6,Further Mathematics,C6,3.2,Medicine and Surgery,280,BORDERLINE
Blessing Okafor,202554119986HJ,242,C6,C4,Mathematics,B3,Physics,A1,Further Mathematics,C4,3.6,Civil Engineering,210,QUALIFIED
Ibrahim Abubakar,202597820715CF,221,C4,C6,Mathematics,D7,Fine Art,C4,Further Mathematics,C6,2.8,Architecture,200,ALTERNATIVE_COURSE
Funmilayo Nwosu,202555466590FG,191,C5,A1,Mathematics,C5,Economics,F9,Further Mathematics,C4,2.8,Economics,190,ALTERNATIVE_COURSE
Funmilayo Olawale,202525192546EG,227,B3,C4,Biology,B3,Chemistry,B3,Further Mathematics,D7,3.4,Medicine and Surgery,280,ALTERNATIVE_COURSE
Oluwaseun Ogundele,202581685054EG,213,C5,A1,Mathematics,C4,Fine Art,C5,Further Mathematics,B3,3.6,Architecture,200,QUALIFIED
Josephine Olawale,202518880592HJ,243,B3,C6,Mathematics,B2,Economics,F9,Further Mathematics,B2,3.0,Accounting,200,ALTERNATIVE_COURSE
Tunde Okafor,202565379473EG,185,B2,C6,Literature,C6,Government,C6,Further Mathematics,B2,3.4,Law,220,BORDERLINE
Peter Ibrahim,202574688623EG,198,E8,C6,Mathematics,D7,Physics,B2,Further Mathematics,C5,2.6,Civil Engineering,210,REJECTED
Kelvin Olawale,202514124782HJ,196,A1,C4,Mathematics,B3,Physics,E8,Further Mathematics,C5,3.2,Civil Engineering,210,ALTERNATIVE_COURSE
Blessing Okonkwo,202585361530FG,158,E8,B2,Biology,C4,Chemistry,B3,Further Mathematics,A1,3.4,Medicine and Surgery,280,REJECTED
Chioma Musa,202527790104EG,220,C6,C5,Biology,C6,Chemistry,B2,Further Mathematics,B3,3.4,Medicine and Surgery,280,BORDERLINE
Josephine Adeyemi,202503697117CF,219,C4,C5,Literature,C4,Government,B2,Further Mathematics,B3,3.4,Law,220,BORDERLINE
Peter Okonkwo,202521851888CF,210,C4,C5,Mathematics,B3,Economics,A1,Further Mathematics,B3,3.8,Economics,190,QUALIFIED
Ngozi Anyanwu,202515319520FG,201,D7,A1,English Language,B3,Literature,B3,Further Mathematics,C5,3.6,Mass Communication,180,ALTERNATIVE_COURSE
Chioma Ogundele,202522170430EG,160,B3,C5,Mathematics,C6,Economics,C5,Further Mathematics,F9,2.6,Economics,190,REJECTED
Blessing Anyanwu,202534505415HJ,195,B3,B3,Mathematics,B3,Physics,C6,Further Mathematics,C4,3.6,Computer Science,200,BORDERLINE
Chioma Abubakar,202584161692FG,198,C5,D7,English Language,B3,Literature,F9,Further Mathematics,C4,2.4,Mass Communication,180,REJECTED
Fatima Musa,202575705964CF,181,B2,B3,Biology,B3,Chemistry,C4,Further Mathematics,C5,3.6,Nursing Science,200,BORDERLINE
Emmanuel Nwosu,202597021355HJ,204,C5,C4,Biology,C4,Chemistry,C5,Further Mathematics,B2,3.2,Medicine and Surgery,280,BORDERLINE
Chukwuemeka Adeleke,202528565431CF,224,A1,B2,Mathematics,C4,Fine Art,B3,Further Mathematics,C4,3.8,Architecture,200,QUALIFIED
Tunde Bello,202594731217EG,276,C4,B3,Literature,C4,Government,B3,Further Mathematics,B3,3.6,Law,220,QUALIFIED
Chukwuemeka Chukwu,202584422583CF,216,F9,C6,Economics,E8,Commerce,F9,Further Mathematics,C5,1.4,Business Administration,180,REJECTED
Tunde Anyanwu,202582911467HJ,219,C6,B2,Mathematics,C4,Economics,B3,Further Mathematics,C4,3.4,Accounting,200,QUALIFIED
Kelvin Abubakar,202528922680CF,207,C6,A1,English Language,F9,Literature,C5,Further Mathematics,C4,2.8,Mass Communication,180,ALTERNATIVE_COURSE
Kelvin Nzekwe,202541438424CF,142,B2,B2,Mathematics,B3,Economics,C5,Further Mathematics,B3,3.8,Economics,190,REJECTED
Funmilayo Abubakar,202590010943HJ,209,C5,C4,Mathematics,C4,Economics,B2,Further Mathematics,C5,3.2,Economics,190,QUALIFIED
Chioma Bello,202564710276HJ,212,C5,C4,Mathematics,C5,Fine Art,B3,Further Mathematics,E8,2.8,Architecture,200,ALTERNATIVE_COURSE
Ngozi Okonkwo,202525881537CF,296,B2,C5,Economics,B3,Commerce,C5,Further Mathematics,C5,3.4,Business Administration,180,QUALIFIED
Adaeze Bello,202525953278HJ,203,C4,B2,Mathematics,A1,Physics,E8,Further Mathematics,D7,3.0,Civil Engineering,210,REJECTED
Grace Bello,202595004797FG,220,D7,C4,Economics,A1,Commerce,B3,Further Mathematics,C4,3.4,Business Administration,180,ALTERNATIVE_COURSE
Solomon Abubakar,202506098358FG,208,A1,B2,Mathematics,B2,Economics,B3,Further Mathematics,B3,4.2,Economics,190,QUALIFIED
Funmilayo Adeyemi,202521655852EG,169,B3,C4,Biology,C4,Chemistry,C6,Further Mathematics,C5,3.2,Medicine and Surgery,280,REJECTED
Chioma Chukwu,202572982595EG,249,C4,C4,Mathematics,A1,Fine Art,B2,Further Mathematics,B3,3.8,Architecture,200,QUALIFIED
Aisha Ibrahim,202594705516FG,236,F9,C5,English Language,B3,Literature,B3,Further Mathematics,C6,2.8,Mass Communication,180,ALTERNATIVE_COURSE
Grace Musa,202509728962EG,237,C4,B3,Mathematics,C5,Physics,F9,Further Mathematics,C4,2.6,Computer Science,200,ALTERNATIVE_COURSE
Adaeze Musa,202536897028EG,178,C4,C5,Mathematics,B2,Physics,C4,Further Mathematics,C4,3.2,Computer Science,200,REJECTED
Aisha Abubakar,202585497334FG,259,B3,C5,Mathematics,C4,Economics,B3,Further Mathematics,B2,3.6,Economics,190,QUALIFIED
Chioma Abubakar,202575844198HJ,160,E8,F9,Mathematics,C6,Economics,C5,Further Mathematics,C5,2.0,Accounting,200,REJECTED
Chukwuemeka Abubakar,202574733848FG,230,C6,E8,English Language,C6,Literature,B3,Further Mathematics,B3,3.0,Mass Communication,180,ALTERNATIVE_COURSE
Grace Ogundele,202530165712CF,286,B2,C5,Literature,B2,Government,A1,Further Mathematics,D7,3.6,Law,220,ALTERNATIVE_COURSE
Ibrahim Anyanwu,202545401938CF,175,F9,B2,Mathematics,C5,Economics,D7,Further Mathematics,C4,2.4,Economics,190,REJECTED
Chioma Nwosu,202540049915FG,190,C4,C6,Literature,E8,Government,A1,Further Mathematics,C6,3.0,Law,220,ALTERNATIVE_COURSE
Tunde Eze,202531527420FG,213,F9,C4,Economics,C4,Commerce,E8,Further Mathematics,D7,1.8,Business Administration,180,REJECTED
Adaeze Chukwu,202551612275EG,192,C4,C6,Mathematics,B2,Physics,D7,Further Mathematics,D7,2.8,Civil Engineering,210,REJECTED
Peter Okafor,202545301742HJ,155,B3,B2,Mathematics,C6,Physics,E8,Further Mathematics,B3,3.2,Computer Science,200,REJECTED
Josephine Abubakar,202593327279FG,212,E8,D7,Mathematics,C6,Economics,C5,Further Mathematics,C5,2.4,Economics,190,REJECTED
Grace Ogundele,202591878519CF,172,C5,D7,English Language,C6,Literature,C6,Further Mathematics,C6,2.8,Mass Communication,180,REJECTED
Kelvin Ibrahim,202513971870HJ,226,C6,D7,Mathematics,B2,Physics,C4,Further Mathematics,B2,3.2,Computer Science,200,ALTERNATIVE_COURSE
Emmanuel Okonkwo,202540391065CF,177,C4,C4,Literature,A1,Government,C4,Further Mathematics,C6,3.4,Law,220,REJECTED
Adaeze Nwosu,202526567661EG,264,F9,E8,Mathematics,A1,Economics,E8,Further Mathematics,A1,2.4,Economics,190,REJECTED
Emmanuel Anyanwu,202504786863EG,182,B2,F9,Biology,B3,Chemistry,B2,Further Mathematics,F9,2.4,Nursing Science,200,REJECTED
Adaeze Adeleke,202503311907CF,198,B3,B3,Economics,E8,Commerce,C5,Further Mathematics,B2,3.2,Business Administration,180,ALTERNATIVE_COURSE
Blessing Nwosu,202584395995EG,238,C5,C4,Mathematics,B2,Economics,B2,Further Mathematics,D7,3.2,Accounting,200,ALTERNATIVE_COURSE
Aisha Adeleke,202526870568FG,166,D7,F9,Mathematics,C4,Physics,C4,Further Mathematics,B3,2.4,Civil Engineering,210,REJECTED
Grace Eze,202527086688EG,217,C4,B3,English Language,B2,Literature,C4,Further Mathematics,B2,3.6,Mass Communication,180,QUALIFIED
Chukwuemeka Chukwu,202530469901EG,255,B2,B2,English Language,C5,Literature,E8,Further Mathematics,C6,3.0,Mass Communication,180,ALTERNATIVE_COURSE
Emmanuel Bello,202531739363FG,153,C5,C4,Mathematics,C4,Fine Art,D7,Further Mathematics,B3,3.0,Architecture,200,REJECTED
Chioma Ibrahim,202517535560EG,216,B3,C4,Mathematics,B3,Physics,B3,Further Mathematics,C4,3.6,Civil Engineering,210,QUALIFIED
Ibrahim Abubakar,202536937854HJ,219,A1,C4,Literature,C4,Government,C5,Further Mathematics,B3,3.6,Law,220,BORDERLINE
Fatima Nzekwe,202580801006EG,237,C4,C5,Economics,B3,Commerce,B2,Further Mathematics,C4,3.4,Business Administration,180,QUALIFIED
Funmilayo Nzekwe,202577008860CF,166,A1,B2,Mathematics,B2,Economics,C4,Further Mathematics,A1,4.2,Accounting,200,REJECTED
Adaeze Anyanwu,202521182339FG,163,C5,C4,Mathematics,B3,Economics,C4,Further Mathematics,C5,3.2,Economics,190,REJECTED
Grace Eze,202510166687CF,228,B3,B3,Biology,B3,Chemistry,C4,Further Mathematics,C4,3.6,Nursing Science,200,QUALIFIED
Amaka Nzekwe,202580339740CF,220,C5,A1,Mathematics,C6,Physics,C5,Further Mathematics,B3,3.6,Computer Science,200,QUALIFIED
Ibrahim Adeleke,202526142939HJ,218,D7,C4,Mathematics,A1,Physics,E8,Further Mathematics,B3,3.0,Civil Engineering,210,REJECTED
Kelvin Musa,202550163159HJ,222,B3,C6,Mathematics,B2,Economics,F9,Further Mathematics,C5,2.8,Economics,190,ALTERNATIVE_COURSE
Solomon Okonkwo,202529619431CF,186,A1,B3,Biology,F9,Chemistry,C4,Further Mathematics,B3,3.2,Nursing Science,200,ALTERNATIVE_COURSE
Amaka Adeyemi,202504754121EG,218,B2,C5,Mathematics,C5,Physics,C5,Further Mathematics,B3,3.4,Civil Engineering,210,QUALIFIED
Chukwuemeka Adeleke,202595604661EG,220,C4,C4,English Language,C4,Literature,A1,Further Mathematics,B3,3.6,Mass Communication,180,QUALIFIED
Oluwaseun Adeyemi,202526464715FG,184,C4,C5,Mathematics,B2,Fine Art,B3,Further Mathematics,B3,3.6,Architecture,200,BORDERLINE
Emmanuel Okonkwo,202559657569EG,275,C5,C4,Mathematics,C5,Economics,C4,Further Mathematics,B2,3.2,Accounting,200,QUALIFIED
Victor Eze,202579356465CF,226,B3,E8,Mathematics,B2,Physics,B3,Further Mathematics,E8,2.8,Civil Engineering,210,REJECTED
Tunde Musa,202537416724EG,168,B2,F9,Mathematics,B2,Fine Art,C6,Further Mathematics,A1,3.2,Architecture,200,REJECTED
Chioma Adeleke,202568868058CF,232,C5,C5,Mathematics,C6,Physics,A1,Further Mathematics,F9,2.8,Civil Engineering,210,ALTERNATIVE_COURSE
Solomon Anyanwu,202556101438EG,175,C6,C5,Biology,B3,Chemistry,C5,Further Mathematics,A1,3.6,Medicine and Surgery,280,REJECTED
Emmanuel Ibrahim,202514611254FG,237,B3,C4,Economics,C5,Commerce,C5,Further Mathematics,B2,3.4,Business Administration,180,QUALIFIED
Tunde Abubakar,202514010512EG,250,C6,C4,Economics,B3,Commerce,A1,Further Mathematics,C5,3.6,Business Administration,180,QUALIFIED
Solomon Ogundele,202522660937HJ,181,B2,B2,Mathematics,C4,Economics,E8,Further Mathematics,B2,3.2,Economics,190,ALTERNATIVE_COURSE
Peter Adeyemi,202582553714HJ,243,A1,B2,English Language,B3,Literature,C5,Further Mathematics,C6,3.8,Mass Communication,180,QUALIFIED
Ngozi Olawale,202579249912FG,224,E8,B3,Mathematics,B3,Economics,B3,Further Mathematics,B2,3.4,Economics,190,ALTERNATIVE_COURSE
Funmilayo Nwosu,202596627828EG,238,B2,B2,Biology,B3,Chemistry,B2,Further Mathematics,B3,4.0,Medicine and Surgery,280,BORDERLINE
Emmanuel Ibrahim,202523688767HJ,276,B3,B2,Economics,C6,Commerce,C5,Further Mathematics,D7,3.2,Business Administration,180,ALTERNATIVE_COURSE
Daniel Bello,202584279788CF,201,C4,A1,Economics,A1,Commerce,C6,Further Mathematics,B3,4.0,Business Administration,180,QUALIFIED
Blessing Anyanwu,202578361340HJ,183,B2,C6,Mathematics,C6,Fine Art,B3,Further Mathematics,C6,3.4,Architecture,200,BORDERLINE
Grace Bello,202595962923EG,178,B3,C6,Mathematics,C4,Physics,F9,Further Mathematics,C6,2.6,Civil Engineering,210,REJECTED
Josephine Eze,202594812604EG,181,C4,C4,Mathematics,C4,Physics,B2,Further Mathematics,F9,2.6,Computer Science,200,ALTERNATIVE_COURSE
Chioma Nwosu,202594667116FG,207,B2,C5,Literature,C6,Government,C6,Further Mathematics,C5,3.2,Law,220,BORDERLINE
Chukwuemeka Musa,202575186363HJ,221,C4,C4,Biology,C4,Chemistry,D7,Further Mathematics,C6,2.8,Nursing Science,200,ALTERNATIVE_COURSE
Victor Nzekwe,202500170127HJ,219,B3,B3,Mathematics,C4,Physics,B2,Further Mathematics,D7,3.4,Civil Engineering,210,ALTERNATIVE_COURSE
Josephine Nwosu,202541541520HJ,238,F9,C4,Mathematics,F9,Physics,D7,Further Mathematics,D7,1.4,Computer Science,200,REJECTED
Ibrahim Ibrahim,202512938700FG,210,C5,C6,Mathematics,C4,Physics,A1,Further Mathematics,A1,3.8,Civil Engineering,210,QUALIFIED
Amaka Adeyemi,202555426221CF,260,F9,C4,Biology,B2,Chemistry,A1,Further Mathematics,B3,3.2,Medicine and Surgery,280,ALTERNATIVE_COURSE
Adaeze Adeleke,202573112196FG,200,C5,C4,Mathematics,C5,Fine Art,C5,Further Mathematics,B2,3.2,Architecture,200,QUALIFIED
Funmilayo Musa,202594043898EG,305,B3,B2,English Language,B3,Literature,A1,Further Mathematics,C4,4.0,Mass Communication,180,QUALIFIED
Amaka Bello,202579180552HJ,231,B3,A1,English Language,D7,Literature,E8,Further Mathematics,C4,3.0,Mass Communication,180,REJECTED
Chukwuemeka Okafor,202591043006FG,179,C4,C4,Mathematics,B2,Fine Art,C4,Further Mathematics,F9,2.6,Architecture,200,REJECTED
Oluwaseun Eze,202514183285HJ,172,C6,C4,Mathematics,C4,Economics,C5,Further Mathematics,C4,3.0,Economics,190,REJECTED
Grace Okafor,202531617990FG,226,C5,C6,Mathematics,C5,Fine Art,A1,Further Mathematics,C5,3.4,Architecture,200,QUALIFIED
Kelvin Chukwu,202542524105HJ,202,B2,C5,Literature,C5,Government,B2,Further Mathematics,E8,3.0,Law,220,ALTERNATIVE_COURSE
